Gender,Age,Dependents,Employment_Status,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Outstanding_Debt,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_History,Bank_Account_History,Transaction_Frequency,Co-Applicant,Default_Risk,Loan_Approval_Status
Female,35,2,Employed,50761,1646,749,1,28840,20000,189,Home,7.29,0,6,18,Yes,0.35,1
Female,41,1,Self-Employed,75690,3593,774,1,5826,22071,116,Education,5.32,0,3,6,No,0.93,0
Female,49,0,Employed,102645,775,793,2,10154,27305,231,Education,8.81,0,6,18,Yes,0.42,1
Female,56,2,Self-Employed,46781,2963,446,1,8442,6374,147,Vehicle,13.4,1,7,8,No,0.59,0
Male,33,3,Unemployed,50525,1579,720,2,27557,20000,84,Vehicle,4.21,1,6,26,No,0.34,1
Female,40,1,Unemployed,109026,3059,778,1,167,22874,32,Home,3.67,0,8,27,No,0.77,1
Male,45,1,Employed,90036,2438,809,1,354,20289,146,Vehicle,11.65,0,1,26,No,0.46,0
Male,44,3,Employed,22908,3052,407,2,27828,6138,88,Home,8.17,0,0,22,No,0.47,0
Male,33,2,Employed,72493,3840,728,0,20054,21561,212,Education,12.91,0,6,12,No,0.8,1
Male,22,1,Self-Employed,56211,3902,511,0,21596,5051,151,Vehicle,4.52,0,2,25,No,0.57,0
Female,30,0,Self-Employed,92494,561,784,0,24023,27723,230,Education,11.16,0,5,20,Yes,0.09,1
Female,32,1,Self-Employed,120118,1349,836,0,29372,32729,200,Personal,13.22,0,1,15,No,0.83,1
Female,33,2,Employed,102866,1719,844,1,21225,27248,86,Home,13.89,0,8,17,No,0.37,1
Male,37,1,Self-Employed,109681,4464,788,2,22799,31061,182,Education,14.83,0,8,26,Yes,0.51,1
Male,27,2,Employed,142697,1473,712,1,24694,32736,212,Home,5.09,0,0,12,Yes,0.48,0
Female,42,0,Employed,124566,2907,847,2,5886,30390,216,Home,6.9,0,5,28,No,0.25,1
Female,54,3,Unemployed,32760,4951,549,2,12824,11153,123,Home,4.08,1,1,11,Yes,0.47,0
Male,46,0,Self-Employed,78889,3875,822,1,20712,23200,83,Personal,8.46,1,0,27,No,0.91,1
Female,48,3,Employed,98778,4666,842,1,3743,29372,123,Education,11.89,0,2,17,No,0.49,0
Male,44,3,Self-Employed,126161,4810,708,2,7364,30484,212,Home,5.27,1,0,17,Yes,0.12,0
Male,50,3,Self-Employed,51076,2749,575,0,13971,14573,209,Home,3.73,0,3,20,Yes,0.06,0
Female,37,0,Self-Employed,135335,4225,830,0,459,26693,182,Home,3.51,0,2,11,No,0.26,1
Female,44,0,Self-Employed,86364,3080,807,1,3038,24985,92,Home,14.09,0,7,7,Yes,0.65,1
Male,48,1,Unemployed,116387,3176,835,1,25266,25617,62,Vehicle,11.52,0,2,23,No,0.32,1
Male,67,1,Self-Employed,60828,4801,322,1,17792,17746,105,Personal,11.36,0,2,8,Yes,0.54,0
Female,34,3,Self-Employed,94659,2869,826,0,20860,25432,80,Vehicle,12.92,1,8,24,Yes,0.73,0
Female,48,2,Employed,93001,898,786,1,10425,27091,181,Home,5.57,0,1,29,No,0.54,1
Female,37,0,Unemployed,24091,4330,578,0,6745,7342,149,Personal,10.5,0,6,19,No,0.11,0
Female,44,0,Self-Employed,59142,793,304,1,25715,13393,229,Vehicle,3.75,1,4,25,No,0.95,0
Male,42,0,Unemployed,76084,2409,715,1,28139,20982,33,Personal,6.24,1,7,23,Yes,0.4,1
Male,45,0,Unemployed,55674,4609,464,2,19543,13293,232,Personal,9.08,0,0,22,Yes,0.6,0
Male,28,0,Employed,119751,608,834,2,2776,22721,177,Home,4.34,0,7,6,Yes,0.14,1
Male,25,1,Unemployed,63838,4478,758,2,15325,20000,18,Personal,4.33,0,0,6,Yes,0.07,1
Male,31,2,Self-Employed,73783,4075,747,0,17022,20674,105,Home,7.26,0,1,24,Yes,0.09,1
Female,39,2,Self-Employed,114858,4249,703,2,27252,24777,123,Vehicle,9.74,0,3,28,Yes,0.15,1
Male,38,3,Employed,146773,770,715,1,12944,27219,62,Education,13.91,0,3,13,No,0.49,1
Male,52,0,Employed,54900,2299,302,0,20973,12169,35,Personal,11.9,0,5,21,Yes,0.48,0
Female,44,2,Employed,127325,605,780,2,4081,25641,26,Personal,14.89,0,7,9,No,0.99,1
Male,43,2,Employed,121535,2990,726,1,19355,23371,139,Home,8.57,0,4,27,No,0.42,0
Female,32,0,Unemployed,85859,3243,737,0,23855,25620,220,Home,13.67,0,7,14,Yes,0.77,1
Female,48,3,Employed,58703,2330,393,0,6763,18297,81,Home,9.82,0,8,24,Yes,0.27,0
Male,43,1,Employed,68687,624,734,2,1653,20208,152,Education,8.34,0,7,23,No,0.37,1
Male,47,3,Employed,115696,3702,734,2,3025,23135,206,Home,4.1,1,5,16,No,0.37,1
Male,42,0,Employed,61832,4002,770,1,11189,20000,167,Personal,6.56,0,9,10,Yes,0.12,0
Male,49,0,Self-Employed,73141,3560,811,0,3934,21267,210,Education,10.36,0,5,26,No,0.35,1
Female,63,3,Employed,54927,1387,316,1,25864,19070,39,Home,13.81,0,0,22,No,0.97,0
Female,23,2,Self-Employed,49115,1796,314,0,27443,6264,86,Personal,13.28,0,7,9,No,0.39,0
Female,43,0,Self-Employed,117617,3892,803,2,27400,29890,15,Education,12.82,0,2,24,Yes,0.67,0
Male,44,0,Self-Employed,39177,1215,573,1,29600,7132,19,Personal,9.79,0,2,11,Yes,0.29,0
Female,36,3,Employed,113193,2140,809,2,23249,23651,76,Home,11.88,1,3,14,Yes,0.94,1
Male,64,3,Unemployed,50318,2768,419,0,24336,10155,56,Education,14.44,0,4,26,Yes,0.92,0
Female,48,3,Self-Employed,54395,3501,826,0,27206,20000,173,Personal,4.7,0,1,9,No,0.47,1
Female,48,3,Employed,52689,1792,848,0,22646,20000,185,Home,11.11,1,4,25,No,0.61,1
Male,46,0,Self-Employed,118256,2124,729,1,24519,35286,26,Home,14.83,1,0,5,No,0.57,1
Female,28,2,Unemployed,68830,2318,821,0,5400,20232,201,Home,14.58,0,0,21,No,0.49,1
Male,43,1,Unemployed,134897,4030,732,2,24891,40420,122,Education,10.46,0,9,7,Yes,0.17,1
Female,49,0,Self-Employed,64748,2049,731,1,28465,20000,49,Education,6.97,0,3,26,No,0.82,1
Female,29,3,Self-Employed,83957,3287,741,0,29663,23290,206,Home,14.99,0,8,10,No,0.19,1
Male,21,1,Employed,68928,4073,548,1,23470,23489,112,Education,13.24,0,2,21,No,0.94,0
Female,33,0,Unemployed,108544,686,720,2,29071,20585,202,Home,6.91,0,5,29,No,0.15,1
Female,47,1,Self-Employed,105635,3234,745,1,15719,29718,132,Personal,14.15,0,6,18,No,0.81,1
Female,68,0,Employed,50971,575,541,0,28761,19405,87,Vehicle,4.96,0,1,6,Yes,0.59,0
Male,30,2,Employed,106239,4030,809,1,18385,26697,172,Home,9.28,0,3,9,No,0.05,1
Male,32,1,Employed,57235,2674,730,2,9933,20000,172,Vehicle,12.02,0,1,21,Yes,0.88,0
Male,45,2,Employed,124171,2221,806,2,17636,32905,196,Home,4.26,0,1,26,Yes,0.02,1
Male,51,2,Self-Employed,50448,4135,520,1,18000,8806,82,Vehicle,12.04,0,3,27,No,0.91,0
Female,32,0,Employed,91127,1040,704,0,737,22764,115,Home,13.35,0,7,15,No,0.87,1
Female,35,0,Self-Employed,122649,1559,731,0,12137,34979,38,Education,8.28,0,1,15,No,0.93,1
Male,51,2,Employed,34961,3793,524,2,12979,10680,54,Home,13.88,0,8,18,Yes,0.57,0
Male,63,1,Employed,20732,4593,448,1,3495,7955,204,Home,13.23,0,7,8,No,0.7,0
Female,41,3,Employed,94685,3327,792,2,3020,20490,169,Education,12.58,1,5,26,Yes,0.17,1
Male,29,2,Employed,111195,761,803,0,2686,32492,34,Education,14.26,1,3,19,No,0.89,1
Male,29,3,Self-Employed,143576,4057,746,1,11312,34005,54,Vehicle,12.02,0,1,28,No,0.35,1
Male,49,0,Self-Employed,42365,4152,592,0,8206,5433,82,Home,12.45,1,3,24,Yes,0.96,1
Male,25,3,Employed,135264,1658,732,2,26498,35735,73,Education,8.33,0,6,24,No,0.59,0
Female,30,1,Unemployed,95401,2174,775,0,253,20283,98,Personal,14.22,0,4,9,No,0.84,1
Female,56,1,Self-Employed,52715,602,589,1,14511,11236,80,Home,12.19,0,4,27,Yes,0.5,0
Male,49,1,Unemployed,90857,3366,776,1,15045,26505,143,Vehicle,8.83,0,4,23,Yes,0.79,1
Male,38,3,Employed,145436,4074,711,1,6968,33481,200,Personal,9.42,1,9,17,Yes,0.27,0
Female,38,0,Self-Employed,106635,2474,812,0,1495,26874,210,Personal,13.06,0,0,27,Yes,0.56,1
Female,40,2,Unemployed,77539,945,775,0,10891,20478,208,Home,14.02,0,8,22,Yes,0.87,1
Male,33,0,Employed,124951,1609,714,2,14420,20435,183,Personal,10.54,1,7,8,No,0.11,0
Female,42,3,Employed,112317,1875,822,0,11552,31344,101,Home,12.62,0,7,26,Yes,0.69,1
Female,48,1,Self-Employed,137830,882,753,1,4195,22716,187,Vehicle,4.17,0,0,7,No,0.78,0
Female,33,0,Employed,79776,3762,809,2,13722,22329,47,Personal,7.67,0,5,23,No,0.87,1
Female,53,2,Employed,56210,2945,323,2,10490,5115,50,Education,4.61,1,5,24,Yes,0.92,0
Female,31,2,Self-Employed,78833,1553,734,1,21215,22924,178,Home,9.11,0,9,27,No,0.07,1
Female,54,2,Unemployed,44937,2008,511,1,4764,12121,122,Vehicle,13.19,0,1,29,No,0.46,1
Male,41,1,Self-Employed,149020,3860,756,0,27253,30766,92,Personal,12.56,0,1,18,No,0.94,0
Female,59,1,Unemployed,43298,2699,492,0,12587,15951,89,Vehicle,8.75,0,8,26,Yes,0.82,0
Female,51,3,Self-Employed,65413,4061,480,0,8617,5745,163,Vehicle,12.32,0,1,26,Yes,0.72,0
Male,27,1,Self-Employed,132192,4987,727,2,26224,24086,21,Personal,3.81,0,1,11,No,0.03,1
Male,38,3,Employed,68570,2121,424,2,25947,20686,23,Personal,9.13,0,1,14,No,0.92,0
Male,56,1,Employed,65579,3208,524,2,5209,25521,166,Personal,4.07,0,5,13,No,0.51,0
Male,29,3,Employed,71838,4950,741,1,27586,21523,205,Education,5.72,0,9,12,No,0.41,0
Male,34,1,Self-Employed,73904,4186,744,0,453,22008,45,Personal,14.71,0,3,29,Yes,0.24,1
Male,28,0,Self-Employed,127528,3088,737,2,7197,23651,239,Vehicle,14.68,0,4,25,No,0.67,0
Male,19,1,Employed,35810,502,516,2,21618,5993,31,Personal,4.86,0,9,10,Yes,0.3,1
Male,34,2,Self-Employed,49898,4031,356,2,21165,12707,132,Vehicle,9.34,0,5,27,Yes,0.51,0
Male,68,3,Unemployed,29932,4999,328,2,23986,6328,38,Vehicle,11.95,0,6,26,Yes,0.1,0
Female,46,2,Self-Employed,138802,1864,814,1,28962,37204,21,Personal,12.97,1,5,13,Yes,0.73,1
Male,58,1,Unemployed,28478,1703,590,0,584,8733,43,Personal,4.89,1,9,10,Yes,0.46,0
Male,49,0,Employed,93925,1563,720,1,9462,21852,82,Home,9.84,1,6,26,Yes,0.33,1
Female,45,2,Self-Employed,56559,1128,799,0,3601,20000,28,Personal,6.41,0,2,19,Yes,0.32,1
Female,43,1,Employed,141415,1909,741,2,24194,26186,195,Education,11.06,0,0,13,Yes,0.42,1
Male,27,0,Employed,55216,1775,813,2,18273,20000,64,Home,5.82,0,2,11,No,0.59,1
Male,31,2,Unemployed,79638,1030,802,0,28092,20535,235,Education,3.83,0,4,16,Yes,0.42,1
Female,36,1,Employed,110128,1950,756,0,19429,28748,227,Home,9.53,0,1,22,Yes,0.36,1
Male,47,2,Employed,53535,683,788,0,925,20000,214,Personal,8.41,0,3,28,No,0.93,1
Male,36,2,Employed,100180,2825,823,2,20346,23049,159,Personal,5.24,0,5,22,Yes,0.78,1
Male,43,0,Employed,90589,4383,747,0,24623,25874,139,Home,12.31,0,3,8,No,0.73,1
Male,31,2,Employed,60265,573,751,0,27849,20000,14,Home,4.68,0,4,25,Yes,0.48,1
Male,32,2,Self-Employed,88914,2305,769,2,19135,24183,17,Vehicle,9.17,1,1,6,Yes,0.57,1
Male,27,2,Employed,116492,4907,841,1,8401,31947,27,Home,4.51,0,4,17,Yes,0.58,1
Male,29,2,Unemployed,144722,2691,808,1,27205,21222,185,Personal,4.36,0,1,18,Yes,0.71,1
Male,37,0,Employed,105392,4398,792,1,2776,27818,59,Home,13.43,1,0,12,Yes,0.19,1
Female,48,0,Unemployed,133279,4558,792,2,22067,22895,97,Education,10.36,0,4,21,No,0.78,1
Female,47,2,Employed,132717,2172,756,2,3861,23422,98,Personal,5.66,1,0,27,No,0.56,1
Male,25,1,Self-Employed,58055,3583,824,2,7501,20000,177,Vehicle,6.78,1,4,23,Yes,0.92,1
Male,42,3,Unemployed,99782,4030,825,1,10404,20477,83,Education,11.74,0,2,22,Yes,0.23,1
Male,45,1,Self-Employed,36192,2682,450,1,19395,6116,184,Vehicle,10.43,0,8,6,Yes,0.54,0
Male,46,2,Self-Employed,59394,1259,844,0,13979,20000,238,Home,9.43,0,6,12,Yes,0.56,0
Male,39,3,Unemployed,135628,2919,824,0,27982,22373,159,Home,12.06,1,3,16,No,0.72,1
Male,37,2,Employed,97902,4277,738,1,23520,22522,169,Home,5.5,0,6,21,No,0.29,1
Female,32,1,Employed,119934,1395,734,0,26314,33588,36,Vehicle,6.48,0,9,11,No,0.5,1
Female,29,3,Employed,138856,4388,813,1,3222,37140,81,Vehicle,13.52,1,7,11,No,0.85,1
Female,31,3,Self-Employed,86930,2555,800,0,1854,22422,122,Vehicle,10.58,0,8,9,Yes,0.91,0
Male,39,0,Employed,146616,1772,765,0,8231,23082,48,Home,7.73,0,7,12,No,0.87,1
Male,31,3,Employed,138689,533,769,0,7869,20803,175,Education,13.3,0,3,22,No,0.05,1
Male,27,2,Self-Employed,129047,683,803,2,7290,36731,177,Home,9.44,0,0,24,No,0.49,1
Female,66,2,Self-Employed,53517,2891,440,1,25882,5345,238,Home,5.32,0,4,25,No,0.69,0
Female,39,2,Employed,25562,3132,599,0,18288,7307,211,Education,12.65,0,6,12,No,0.66,0
Female,26,1,Employed,26523,3201,369,0,15084,8327,135,Home,10.31,0,0,7,No,0.93,0
Male,18,1,Self-Employed,20674,3001,414,2,21321,6486,147,Home,12.51,0,2,25,Yes,0.61,0
Female,39,2,Employed,94550,3405,828,2,11726,26360,171,Vehicle,6.83,0,6,27,No,0.22,1
Female,45,1,Employed,63732,3961,796,2,11970,20000,109,Vehicle,9.37,0,1,21,Yes,0.92,0
Female,27,0,Employed,123207,4767,834,2,22368,28961,67,Education,3.67,1,6,19,Yes,0.03,1
Female,30,3,Employed,117583,1677,801,2,17548,30657,224,Home,11.84,0,2,26,No,0.63,1
Male,48,0,Self-Employed,36863,2023,457,1,6223,5895,172,Home,3.94,1,9,6,No,0.38,1
Male,29,3,Self-Employed,97370,3469,701,0,11689,22841,129,Home,13.84,0,6,15,No,0.07,1
Male,21,3,Employed,67683,1024,368,2,13911,7514,154,Home,14.42,0,6,16,Yes,0.24,0
Female,48,1,Employed,128352,4059,733,0,17514,36147,97,Vehicle,11.72,0,1,25,Yes,0.83,0
Female,42,0,Employed,48708,4474,318,2,28454,16252,195,Vehicle,6.25,0,8,20,No,0.14,0
Female,35,2,Employed,98670,4672,723,2,10151,20376,209,Education,9.81,0,9,27,No,0.75,1
Male,35,2,Employed,148621,2719,804,1,1581,40762,139,Home,6.53,0,5,18,No,0.8,1
Male,38,2,Self-Employed,76326,4673,849,1,23831,21393,99,Personal,12.33,0,0,25,Yes,0.8,1
Male,49,2,Employed,100322,3873,713,0,2071,26981,99,Personal,11.21,1,7,21,Yes,0.2,0
Male,41,2,Employed,58507,3275,810,0,3800,20000,222,Personal,11.52,1,3,26,No,0.74,1
Female,49,1,Self-Employed,100799,2369,781,1,24183,21532,100,Home,10.56,0,3,17,No,0.49,1
Female,69,2,Employed,42235,4745,474,1,10384,7792,117,Home,4.61,0,5,22,Yes,0.54,0
Male,44,1,Employed,57057,4833,732,2,5467,20000,167,Home,11.17,0,2,11,No,0.56,1
Female,33,0,Employed,125723,3731,737,1,16549,31272,96,Vehicle,11.16,0,0,5,No,0.54,1
Male,25,0,Self-Employed,146286,2683,846,0,28389,36026,74,Home,8.19,0,9,28,Yes,0.69,1
Male,63,2,Employed,61418,4805,346,0,28919,13818,107,Home,3.51,0,8,8,No,0.54,0
Male,29,0,Employed,51877,1464,761,0,7244,20000,103,Home,9.48,0,6,7,No,0.02,1
Male,48,1,Self-Employed,94902,2672,845,1,12685,23279,37,Personal,10.5,1,9,17,Yes,0,1
Male,45,2,Employed,90039,2115,798,2,2749,26319,150,Home,5.98,0,7,25,Yes,0.92,1
Male,32,2,Self-Employed,57577,2591,718,1,19623,20000,148,Education,14.7,0,3,5,No,0.59,1
Female,29,3,Self-Employed,88594,3127,767,0,13740,23232,231,Education,9.35,0,2,6,Yes,0.27,0
Male,26,1,Employed,124371,2979,701,0,5790,26834,40,Vehicle,10.39,0,6,7,No,0.31,1
Female,26,3,Self-Employed,129359,4909,845,0,29366,30122,79,Personal,10.47,1,1,17,No,0.69,1
Male,62,0,Self-Employed,38624,2114,437,2,2843,12264,132,Home,13.82,0,8,26,Yes,0.07,0
Male,43,1,Employed,136321,2344,742,0,22615,39553,57,Home,9.59,1,0,17,Yes,0.55,1
Male,42,3,Employed,55515,2515,834,2,21021,20000,91,Education,9.21,0,9,26,No,0.42,1
Male,39,2,Self-Employed,103191,4927,816,2,6838,26834,214,Vehicle,13.49,1,0,15,No,0.72,1
Female,63,0,Employed,54534,4290,383,1,22482,10727,121,Home,7.94,0,4,14,No,0.22,1
Male,25,2,Employed,121155,1630,737,2,14957,26328,160,Education,10.24,0,2,8,Yes,0.64,1
Female,69,0,Unemployed,55662,3709,394,2,26607,17976,111,Vehicle,10.47,1,1,6,No,0.27,1
Male,35,1,Self-Employed,98114,1759,705,1,12667,24639,155,Vehicle,4.7,0,3,25,No,0.16,1
Male,43,1,Self-Employed,54531,4127,757,1,837,20000,157,Education,7.7,0,5,23,No,0.78,1
Female,32,3,Unemployed,63229,3742,711,1,2466,20000,79,Personal,8.09,0,4,21,Yes,0.73,1
Female,18,2,Self-Employed,51365,4558,535,1,13824,13704,98,Home,5.57,0,7,23,Yes,0.65,0
Female,35,0,Employed,52461,622,761,1,20274,20000,197,Home,3.72,1,1,20,No,0.03,1
Female,27,0,Unemployed,61497,3359,596,1,19986,7678,71,Personal,6.51,1,1,16,Yes,0.4,1
Male,23,0,Employed,29663,1954,430,0,12341,8617,184,Home,13.17,0,5,14,No,0.75,0
Female,37,2,Employed,60878,2151,769,0,7440,20000,135,Home,8.61,1,8,6,Yes,0.83,1
Female,25,0,Self-Employed,122038,3468,704,0,1117,30716,138,Vehicle,10.69,0,6,23,No,0.92,1
Female,33,1,Employed,53636,2480,724,2,16181,20000,121,Home,10.33,0,6,28,No,0.22,0
Male,42,2,Self-Employed,81895,2593,841,2,25088,24515,149,Home,7.11,1,7,5,Yes,0.51,1
Female,69,1,Self-Employed,27182,3121,557,0,454,9892,58,Home,10.6,1,9,24,Yes,0.39,0
Male,60,2,Self-Employed,63159,1772,410,1,25302,22012,96,Personal,10.02,0,9,11,Yes,0.91,0
Female,49,0,Employed,149773,4700,831,1,7760,41986,154,Home,6.85,0,1,15,No,0.98,1
Male,40,2,Employed,118452,2766,774,2,6387,32248,95,Vehicle,9.87,0,3,14,No,0.66,1
Female,20,2,Self-Employed,44534,1005,540,0,1467,9626,56,Home,9.77,0,9,12,No,0.63,0
Female,34,0,Employed,80637,2749,810,1,19715,22954,178,Education,9.26,0,9,9,Yes,0.82,1
Male,19,2,Self-Employed,21738,2383,508,2,22129,7568,33,Personal,9.99,0,3,23,No,0.89,0
Male,32,1,Self-Employed,53847,3309,723,1,6979,20000,127,Personal,9.01,1,0,19,Yes,0.52,0
Male,49,1,Employed,111996,3775,819,1,28647,23992,63,Home,9.99,1,1,23,No,0.25,1
Male,42,2,Unemployed,148199,2890,753,1,5261,32738,131,Home,11.81,1,8,27,Yes,0.36,1
Female,27,2,Self-Employed,53350,1900,830,2,1673,20000,205,Home,7.94,0,1,25,Yes,0.19,1
Female,30,2,Self-Employed,107698,3086,745,1,25950,28376,16,Home,10.97,0,3,6,Yes,0.55,1
Female,37,3,Employed,71562,4265,712,1,12552,20875,99,Vehicle,12.02,1,8,11,No,0.31,1
Female,43,0,Unemployed,131569,4295,744,1,5166,37694,183,Personal,6.42,0,6,14,No,0.93,0
Female,63,1,Employed,27723,2898,301,0,29251,5872,103,Home,13.41,0,1,13,Yes,0.25,1
Female,30,2,Employed,57848,2204,408,2,2741,17375,129,Home,4.65,0,6,8,Yes,0.45,1
Female,39,1,Self-Employed,134983,1377,806,2,25472,26467,113,Education,5.14,0,7,15,Yes,0.89,1
Male,46,3,Employed,116907,3234,769,1,23154,21548,239,Vehicle,9.13,0,4,16,No,0.73,1
Male,43,1,Self-Employed,99849,1002,767,0,8337,25235,186,Personal,13.46,0,0,15,Yes,0.8,1
Female,42,1,Employed,127377,953,710,2,26330,28893,29,Personal,6.44,0,9,15,Yes,0.99,1
Female,36,0,Employed,127594,1972,831,0,13406,25023,175,Home,9.19,0,5,18,Yes,0.79,0
Male,32,2,Self-Employed,127256,2402,793,0,7247,34420,38,Home,13.18,1,1,9,Yes,0.06,1
Female,38,0,Employed,57909,918,806,0,7023,20000,20,Personal,11.05,0,8,6,Yes,0.85,1
Male,47,3,Unemployed,115650,2562,767,2,11421,32200,50,Vehicle,11.2,0,8,25,No,0.77,1
Female,49,2,Unemployed,107049,4328,775,2,26363,20973,33,Education,12.86,0,7,25,Yes,0.82,1
Male,25,1,Employed,104492,3286,749,2,24733,21996,118,Personal,7.54,0,1,28,Yes,0.66,1
Male,18,1,Employed,43122,1509,473,2,24880,7251,217,Personal,8.88,0,8,11,Yes,0.59,0
Male,25,3,Employed,73707,3001,774,0,3714,22061,108,Home,14.62,0,4,11,Yes,0.87,1
Male,41,0,Employed,86293,1039,707,1,17708,21913,223,Vehicle,12.19,0,5,24,No,0.06,1
Male,45,1,Employed,134378,4210,789,2,13647,34234,146,Home,4.94,0,3,21,Yes,0.48,0
Male,42,2,Self-Employed,103961,4904,728,0,12927,24892,29,Education,10.95,0,9,21,No,0.46,1
Male,69,1,Employed,23090,2230,394,0,9726,6014,119,Personal,14.78,0,5,19,No,0.71,0
Male,49,0,Employed,74163,2475,724,0,13952,21829,71,Education,5.58,0,1,13,Yes,0.67,1
Female,32,1,Employed,28059,4827,316,0,23827,7827,198,Vehicle,10.93,1,0,13,No,0.49,1
Male,43,2,Self-Employed,68386,3723,813,2,25305,20314,134,Personal,14.47,0,0,25,No,0.39,1
Male,48,1,Employed,117393,2528,842,2,11530,34782,91,Personal,6.03,0,7,25,Yes,0.37,1
Female,47,3,Employed,36603,4152,569,2,17823,8861,51,Home,13.83,0,2,5,Yes,0.71,1
Female,33,3,Unemployed,109070,4510,734,0,15014,29542,106,Vehicle,4.82,0,5,8,Yes,0.59,1
Female,49,3,Employed,101565,2744,788,2,26740,22255,163,Home,13.9,0,6,28,No,0.4,0
Female,26,1,Unemployed,130780,3302,766,0,99,32579,92,Education,14.28,0,9,5,Yes,0.27,1
Female,32,2,Employed,117616,4355,712,1,6670,21514,66,Home,14.93,0,6,5,No,0.23,1
Female,57,2,Employed,32789,2832,302,0,26313,5746,94,Home,12.86,1,7,27,Yes,0.29,0
Male,39,1,Unemployed,122112,4893,819,0,23199,30093,210,Home,10.03,0,2,25,Yes,0.91,1
Female,35,3,Employed,90099,1572,723,1,6869,21544,130,Education,10.94,0,9,19,No,0.62,1
Female,39,2,Employed,68904,3626,738,1,8443,20233,65,Education,4.49,1,5,27,No,0.92,1
Female,43,1,Unemployed,61213,4002,718,2,26344,20000,234,Home,11.37,0,7,10,Yes,0.53,0
Female,35,0,Self-Employed,78105,930,734,0,23225,22658,192,Education,13.25,1,9,6,Yes,0.76,1
Female,25,1,Self-Employed,126300,4712,793,1,20831,20987,47,Home,5.71,0,9,14,Yes,0.71,1
Male,41,3,Self-Employed,81034,3209,731,1,2602,21719,205,Home,14.87,0,6,9,Yes,0.35,1
Female,28,1,Employed,48367,1025,584,0,3031,18385,198,Vehicle,6.47,1,7,19,Yes,0.12,0
Male,38,3,Self-Employed,114745,1899,846,2,1180,27715,78,Vehicle,5.78,0,3,19,Yes,0.49,0
Male,36,2,Self-Employed,56925,2631,802,2,16676,20000,109,Education,10.85,0,9,21,No,0.31,1
Male,47,2,Employed,26593,4226,412,0,26425,8691,195,Vehicle,9.22,0,4,11,No,0.9,0
Male,36,1,Unemployed,93646,4886,729,2,6705,21337,95,Education,6.22,0,1,29,No,0.4,1
Female,28,2,Self-Employed,117536,2030,708,0,25086,28083,92,Personal,13.08,0,1,24,Yes,0.29,1
Male,39,0,Employed,141808,3375,747,0,27198,20472,209,Home,14.5,0,9,19,Yes,0.48,1
Female,33,1,Self-Employed,92614,4499,829,2,8134,27208,28,Education,4.37,0,8,19,No,0.59,1
Male,49,0,Unemployed,96057,2300,833,1,18615,23971,106,Home,11.04,0,6,15,Yes,0.42,0
Female,32,3,Unemployed,42614,2527,340,2,1249,12907,147,Home,9.46,1,7,18,No,0.87,0
Female,26,2,Employed,123017,880,715,0,26331,23667,208,Vehicle,3.9,0,5,15,No,0.32,1
Female,40,3,Employed,86006,3859,712,0,1251,21822,228,Home,14.36,0,9,14,No,0.41,1
Male,40,3,Self-Employed,36947,880,468,1,14078,14624,39,Home,3.59,0,8,12,Yes,0.32,0
Female,25,3,Self-Employed,80983,1814,809,2,16921,22824,232,Personal,8.69,0,4,9,Yes,0.11,1
Male,40,3,Employed,127224,635,790,1,15520,37802,16,Home,10.08,1,5,21,No,0.82,0
Male,39,2,Employed,58345,3560,703,1,5077,20000,182,Home,7.97,1,4,5,Yes,0.01,0
Female,38,0,Self-Employed,29221,4194,513,2,25928,9413,50,Home,9.46,0,2,16,Yes,0.5,0
Male,38,0,Self-Employed,58852,3274,750,0,11194,20000,195,Home,12.57,1,8,14,No,0.23,1
Female,45,0,Employed,100319,727,813,2,15828,20472,201,Home,8.14,1,8,29,Yes,0.59,1
Female,48,3,Self-Employed,139422,4873,779,1,21356,28122,208,Home,4.72,0,3,20,Yes,0.62,1
Female,49,0,Employed,117741,511,831,1,22935,24403,83,Personal,14.7,0,9,20,Yes,0.05,1
Male,27,0,Self-Employed,111245,2086,838,0,16347,29797,96,Education,6.85,0,5,24,No,0.44,1
Female,30,0,Unemployed,125499,935,842,1,2402,24200,108,Education,10.46,0,4,15,Yes,0.94,1
Female,60,0,Unemployed,44039,2145,400,1,20765,6780,48,Vehicle,11.71,0,2,5,Yes,0.42,0
Male,31,3,Self-Employed,78046,3743,727,2,1143,22643,206,Education,7.51,0,0,25,Yes,0.72,1
Male,46,3,Unemployed,64668,999,835,0,9532,20000,71,Home,11.68,0,7,17,No,0.03,1
Male,42,0,Employed,31593,1871,377,1,16146,10191,167,Vehicle,8.79,0,3,7,Yes,0.12,0
Male,63,2,Unemployed,41363,636,522,0,5276,13485,201,Education,10.83,0,8,7,Yes,0.9,0
Female,34,0,Employed,53691,4938,771,0,6120,20000,170,Home,5.48,0,8,14,Yes,0.04,1
Male,28,0,Employed,147995,1620,760,2,18878,27426,158,Home,3.62,0,9,12,Yes,0.07,1
Male,25,1,Self-Employed,146746,4101,757,1,1510,21266,31,Education,6.8,0,8,9,Yes,0.36,1
Male,53,0,Employed,52233,2360,410,1,11114,15646,141,Education,13.17,0,6,21,No,0.19,0
Male,43,3,Unemployed,27406,1192,585,2,2862,5615,82,Home,6.19,0,3,28,No,0.06,0
